p3,get,0.017,point,0.024
p3,put,0.017,okay,0.024
p3,great,0.016,two,0.024
p3,bags,0.016,seventy,0.024
p3,okay,0.016,twelve,0.020
p3,sure,0.014,divided,0.020
p3,multiply,0.014,'s,0.020
p3,bit,0.012,thirty,0.015
p3,ten,0.012,eminem,0.015
p3,'s,0.012,covers,0.010
p3,little,0.012,hey,0.010
p3,need,0.012,four,0.010
p3,six,0.012,total,0.010
p3,help,0.011,fifty,0.010
p3,might,0.011,per,0.010
p30,three,0.035,skip,0.054
p30,think,0.031,'s,0.054
p30,two,0.027,right,0.043
p30,step,0.022,answer,0.043
p30,'m,0.022,count,0.038
p30,one,0.019,yes,0.032
p30,times,0.018,get,0.032
p30,six,0.018,six,0.027
p30,get,0.017,two,0.027
p30,put,0.017,multiply,0.027
p30,n't,0.017,five,0.027
p30,problem,0.015,like,0.027
p30,answer,0.015,times,0.027
p30,figure,0.014,three,0.027
p30,miles,0.013,counting,0.022
p30,'s,0.013,got,0.022
p30,hours,0.013,yet,0.016
p30,great,0.013,ratio,0.016
p30,sweet,0.013,going,0.016
p30,``,0.013,know,0.016
p30,'',0.013,think,0.016
p30,multiply,0.013,point,0.011
p30,paint,0.012,number,0.011
p30,much,0.012,cuz,0.011
p30,need,0.012,another,0.011
p31,two,0.055,yes,0.100
p31,three,0.040,multiply,0.087
p31,multiply,0.036,ten,0.073
p31,times,0.032,one,0.073
p31,answer,0.032,six,0.073
p31,one,0.028,times,0.067
p31,five,0.026,would,0.053
p31,put,0.026,three,0.053
p31,hundred,0.021,hundred,0.040
p31,six,0.021,twelve,0.027
p31,think,0.019,divided,0.027
p31,point,0.017,answer,0.027
p31,figure,0.017,get,0.027
p31,bags,0.017,seven,0.020
p31,twenty,0.015,point,0.020
p31,seven,0.015,four,0.020
p31,``,0.015,equals,0.020
p31,'',0.015,five,0.020
p31,need,0.015,fifty,0.020
p31,okay,0.015,seventy,0.020
p31,help,0.013,divide,0.013
p31,get,0.013,two,0.013
p31,step,0.013,dance,0.007
p31,paint,0.013,siri,0.007
p31,four,0.011,yeah,0.007
p32,two,0.029,yes,0.066
p32,five,0.025,'re,0.052
p32,answer,0.021,'s,0.039
p32,get,0.019,one,0.039
p32,think,0.019,times,0.037
p32,point,0.019,step,0.035
p32,sweet,0.019,point,0.031
p32,three,0.019,two,0.031
p32,put,0.017,six,0.027
p32,'s,0.016,ten,0.025
p32,great,0.016,three,0.025
p32,one,0.016,five,0.023
p32,times,0.015,right,0.023
p32,``,0.015,going,0.021
p32,'',0.015,hundred,0.021
p32,okay,0.015,put,0.019
p32,go,0.013,four,0.017
p32,problem,0.013,go,0.017
p32,figure,0.013,seven,0.017
p32,bags,0.013,okay,0.017
p32,multiply,0.013,multiply,0.017
p32,'m,0.013,let,0.014
p32,next,0.012,twenty,0.014
p32,hundred,0.012,want,0.014
p32,four,0.011,equals,0.012
p33,three,0.040,ten,0.073
p33,two,0.029,times,0.064
p33,think,0.023,three,0.062
p33,one,0.022,one,0.053
p33,point,0.021,multiply,0.032
p33,put,0.020,point,0.030
p33,times,0.020,four,0.026
p33,answer,0.020,miles,0.026
p33,okay,0.018,hundred,0.021
p33,'s,0.017,seven,0.021
p33,know,0.015,six,0.021
p33,sweet,0.015,'s,0.021
p33,need,0.015,two,0.021
p33,five,0.013,many,0.019
p33,get,0.013,five,0.019
p33,paint,0.013,yes,0.017
p33,seven,0.013,would,0.017
p33,figure,0.013,get,0.015
p33,multiply,0.013,thirty,0.015
p33,step,0.012,hour,0.015
p33,great,0.012,divided,0.015
p33,hundred,0.012,twelve,0.013
p33,awesome,0.012,hours,0.013
p33,ten,0.011,divide,0.013
p33,twenty,0.011,need,0.013
p34,step,0.047,'s,0.059
p34,answer,0.035,times,0.059
p34,two,0.032,five,0.046
p34,problem,0.031,one,0.046
p34,put,0.023,answer,0.046
p34,figure,0.022,six,0.039
p34,five,0.020,yes,0.033
p34,think,0.020,three,0.030
p34,next,0.019,yep,0.026
p34,third,0.019,twenty,0.023
p34,one,0.018,'re,0.023
p34,know,0.017,seven,0.023
p34,twenty,0.017,divided,0.023
p34,sure,0.017,eight,0.023
p34,explain,0.016,find,0.016
p34,okay,0.016,going,0.016
p34,point,0.016,get,0.016
p34,n't,0.016,ten,0.016
p34,three,0.016,plus,0.016
p34,need,0.016,hundred,0.016
p34,get,0.016,trying,0.016
p34,'s,0.016,four,0.013
p34,go,0.013,two,0.013
p34,'re,0.013,need,0.013
p34,'m,0.013,fifty,0.010
p35,okay,0.027,times,0.079
p35,two,0.027,need,0.071
p35,multiply,0.022,multiply,0.067
p35,put,0.021,one,0.052
p35,answer,0.021,yes,0.045
p35,five,0.020,'s,0.041
p35,three,0.020,six,0.041
p35,get,0.018,ten,0.034
p35,great,0.018,divide,0.034
p35,think,0.018,three,0.034
p35,``,0.018,divided,0.030
p35,'',0.018,two,0.030
p35,'m,0.018,hundred,0.030
p35,one,0.017,seven,0.022
p35,figure,0.017,buy,0.019
p35,sweet,0.014,point,0.015
p35,need,0.014,twenty,0.015
p35,'s,0.014,yeah,0.015
p35,help,0.013,forty,0.015
p35,step,0.012,way,0.015
p35,times,0.012,four,0.015
p35,point,0.012,easy,0.011
p35,twenty,0.012,needed,0.011
p35,bags,0.012,correct,0.011
p35,paint,0.010,eighty,0.011
p36,two,0.037,one,0.071
p36,think,0.025,ten,0.047
p36,point,0.023,times,0.047
p36,three,0.023,would,0.041
p36,answer,0.023,six,0.038
p36,times,0.021,four,0.030
p36,put,0.020,five,0.030
p36,one,0.020,multiply,0.030
